candidat_id|commune_id
1|73001
2|21374
3|68004
3|1451
4|88367
5|1034
6|77279
6|25156
7|12183
7|85076
8|93030
9|77100
10|31410
10|39189
10|34111
11|67196
11|77234
12|13028
13|38218
13|57001
13|54328
14|54008
15|92077
16|2B169
16|95282
17|62139
18|2B050
18|94065
18|52001
19|83090
20|33249
21|92022
21|92050
22|2316
23|31557
23|95205
24|11015
24|67025
24|35055
25|1244
26|37011
27|2316
28|51171
29|6085
30|13209
31|60235
32|7186
33|59647
34|24322
34|24223
35|7078
36|78107
37|49170
38|17160
39|95309
40|30084
41|64256
41|13022
42|69138
42|17160
43|27622
43|51171
44|60009
45|58150
45|62331
46|27332
47|25578
48|34154
49|71230
50|29059
51|27458
52|78140
52|60414
53|92002
54|27260
54|2142
55|77448
56|51058
57|87001
57|42095
58|78138
58|64001
59|33274
60|42323
60|24158
61|63010
62|38157
62|78281
63|25156
64|81001
64|56117
65|26094
65|67152
65|66001
66|62232
66|1283
67|47091
67|37132
68|34032
68|36063
69|9332
70|74235
71|95487
72|30341
72|33327
73|92033
74|57250
75|13208
76|77231
77|3200
77|41232
78|59324
78|90010
79|1283
79|56172
80|33036
81|72054
81|61063
82|24064
83|74133
83|16069
84|31056
84|2316
85|40001
86|63010
86|91105
86|48080
87|39308
88|23013
89|4244
89|67046
89|78162
90|41253
91|54439
92|50045
93|42187
93|31254
94|84007
95|83069
96|78616
96|24001
97|39491
98|22061
99|27332
99|97618
100|73296
100|17200
101|27065
102|95149
103|67137
104|69117
105|69386
106|13205
106|76001
106|34108
107|2B042
108|97618
109|76384
109|89068
109|69283
110|74244
110|31079
111|17291
111|8164
112|59346
112|62571
112|69029
113|26108
114|66067
114|75112
114|76758
115|86137
115|9285
115|41255
116|70349
116|78168
117|56034
118|33119
119|54430
120|14301
121|82112
122|77244
123|35126
124|77244
125|48064
126|79045
127|49001
127|30125
128|78381
129|64125
129|17021
129|85152
130|13056
131|3185
132|54205
132|74163
133|41137
134|60636
135|51453
136|35084
137|13216
138|78217
139|77526
140|34202
141|50215
142|64189
143|23001
144|77283
144|31547
145|60471
146|67409
147|34130
147|36088
147|13214
148|69010
149|25250
149|38516
150|39171
151|70550
151|77468
152|33200
152|26094
153|28088
153|84062
154|59299
155|67025
155|11262
156|38544
156|78068
156|49301
157|67300
157|37002
158|78621
159|6001
159|84019
160|56193
161|36162
162|95253
163|59606
163|36021
164|4244
165|70310
166|54323
166|8314
167|77230
168|2722
168|28006
168|90010
169|92049
170|60471
171|90104
172|40184
172|40065
173|77250
174|3058
174|13099
