candidat_id|secteur_id
1|18
2|40
3|23
4|37
4|10
5|7
6|31
7|20
7|16
8|39
9|7
9|24
10|6
11|19
12|5
13|31
13|34
14|1
14|40
15|8
16|26
17|6
18|33
19|16
20|26
21|37
22|35
22|21
23|10
24|27
25|16
26|4
27|36
27|38
28|26
29|11
30|9
31|3
32|30
33|30
34|9
35|14
36|16
37|26
37|33
38|41
39|22
40|7
40|4
41|26
42|14
42|35
43|34
44|6
45|28
46|11
47|30
48|36
49|32
50|24
51|21
52|32
53|1
54|41
55|19
55|29
56|20
56|10
57|25
58|16
59|18
60|22
61|20
62|14
63|17
64|38
65|26
66|1
67|21
68|31
69|15
70|14
71|19
72|10
73|12
74|25
75|23
76|27
77|29
78|34
79|40
80|32
80|29
81|11
82|28
82|15
83|22
84|1
85|33
86|31
87|40
88|35
89|27
90|23
91|21
92|26
93|18
94|30
95|12
96|37
97|41
98|2
99|9
100|7
101|16
102|4
103|37
104|5
104|28
105|21
105|3
106|8
107|16
107|29
108|10
109|2
110|25
111|23
111|20
112|15
112|24
113|3
114|32
115|27
116|30
117|13
118|24
118|8
119|20
119|11
120|7
121|39
121|9
122|5
123|12
123|24
124|24
125|20
126|16
127|21
128|39
129|27
130|32
131|27
132|33
133|20
134|4
134|3
135|17
136|2
137|31
138|29
139|19
140|8
141|1
142|25
142|37
143|37
144|35
145|20
146|24
147|14
148|40
149|23
150|37
150|29
151|32
152|39
153|10
153|39
154|2
155|2
156|21
157|24
158|38
159|33
160|15
161|24
161|22
162|12
163|21
164|39
164|28
165|17
166|27
167|35
168|23
169|32
170|4
170|11
171|24
172|33
173|4
174|41
175|20
176|1
177|34
178|28
179|27
180|5
181|18
181|41
182|27
183|31
184|20
185|28
186|14
187|19
188|18
189|39
190|26
191|18
192|18
193|27
194|3
195|27
196|3
197|36
198|9
199|25
199|30
200|12
201|16
202|39
203|13
204|30
205|30
206|7
206|40
207|14
208|2
209|38
210|24
211|36
212|15
213|35
213|40
214|15
215|32
216|29
217|37
217|6
218|21
219|4
220|12
221|30
222|20
223|26
224|18
225|37
226|4
227|31
227|37
228|20
229|40
230|37
231|29
231|34
232|1
233|25
234|23
235|27
236|3
237|23
238|1
239|19
240|33
241|35
242|29
243|41
244|38
245|14
246|7
247|22
248|26
249|7
250|24
250|3
251|28
252|15
253|8
253|40
254|41
255|27
256|10
257|14
258|37
259|13
260|27
261|8
262|5
263|40
264|32
265|9
266|13
267|22
267|3
268|33
268|31
269|34
269|4
270|13
271|10
272|25
273|13
273|27
274|1
275|23
276|31
277|15
277|29
278|11
279|30
280|4
281|38
282|24
283|31
284|18
285|7
286|36
287|25
287|12
288|41
289|5
290|26
291|14
292|6
293|32
294|14
295|20
296|11
297|6
298|28
299|16
300|4
301|4
302|21
303|36
304|20
305|22
306|38
307|35
308|15
309|24
310|28
311|36
311|22
312|32
313|21
314|8
315|17
316|40
317|36
317|9
318|34
318|33
319|4
320|12
321|38
322|11
323|24
324|3
325|31
326|31
327|18
328|27
329|9
329|28
330|11
331|35
332|37
333|7
334|12
335|7
336|30
337|13
338|38
338|2
339|15
340|15
341|15
342|3
342|30
343|16
344|39
345|40
345|25
346|27
347|19
348|5
349|26
350|2
351|29
352|8
353|15
354|12
355|17
356|1
356|5
357|35
358|13
358|14
359|25
360|18
360|9
361|5
361|14
362|12
363|19
364|3
365|40
366|32
367|22
368|11
368|23
369|32
370|24
371|12
372|13
372|9
373|9
374|30
374|14
375|28
376|5
377|12
378|15
379|38
380|1
381|37
381|13
382|1
383|4
384|3
385|1
386|3
387|12
388|35
389|8
390|27
390|20
391|7
392|39
393|24
394|1
395|12
395|26
396|41
397|39
398|10
398|30
399|24
400|31
401|1
402|14
403|22
403|20
404|27
404|6
405|40
406|41
407|27
407|12
408|2
409|24
410|36
411|25
412|18
413|32
413|34
414|35
415|41
416|25
417|23
418|37
419|6
420|19
421|26
422|35
423|14
424|18
425|35
426|14
427|33
428|1
428|28
429|27
430|18
431|23
432|30
433|36
434|22
435|9
436|3
436|30
437|13
437|16
438|36
439|39
439|14
440|37
440|23
441|20
442|33
443|32
444|16
445|21
446|30
447|17
448|21
449|10
450|12
451|4
451|41
452|5
453|10
454|39
455|40
455|1
456|40
457|41
457|35
458|29
458|26
459|15
460|10
461|24
461|26
462|29
463|3
464|12
465|41
466|7
467|24
468|31
469|34
470|16
471|34
471|31
472|2
472|36
473|32
473|15
474|15
475|4
475|34
476|7
476|2
477|37
478|16
479|32
