offre_id|debut_stage|mois_de_stage
2|2024-11-02|1
3|2024-09-23|1
4|2024-07-14|1
5|2024-11-01|6
6|2024-09-16|3
7|2024-07-28|3
8|2024-09-21|2
9|2024-07-06|3
10|2024-09-07|6
11|2024-11-25|1
12|2024-10-16|1
13|2024-11-25|2
14|2024-09-26|3
15|2024-09-30|1
16|2024-08-17|6
17|2024-10-15|3
18|2024-11-21|3
19|2024-10-02|3
20|2024-07-14|3
21|2024-09-13|3
22|2024-11-13|3
23|2024-11-04|1
24|2024-07-01|6
25|2024-07-04|1
26|2024-08-18|1
27|2024-09-26|1
28|2024-07-07|1
29|2024-11-13|3
30|2024-09-05|3
31|2024-09-08|6
32|2024-07-10|1
33|2024-09-25|3
34|2024-10-15|6
35|2024-11-28|1
36|2024-10-13|3
37|2024-08-29|2
38|2024-07-31|3
39|2024-11-17|2
40|2024-11-10|1
41|2024-11-01|3
42|2024-08-27|3
43|2024-10-10|3
44|2024-10-10|3
45|2024-10-28|3
46|2024-11-28|3
47|2024-11-04|3
48|2024-09-12|2
49|2024-11-01|6
50|2024-07-20|1
51|2024-09-13|2
52|2024-08-03|1
53|2024-08-21|3
54|2024-11-18|1
55|2024-11-30|1
56|2024-10-28|3
57|2024-10-29|3
58|2024-09-08|2
59|2024-07-14|1
60|2024-08-27|1
61|2024-07-15|1
62|2024-09-17|3
63|2024-11-28|1
64|2024-10-12|1
65|2024-07-19|3
66|2024-09-11|1
67|2024-10-15|3
68|2024-08-29|1
69|2024-08-04|1
70|2024-08-07|2
71|2024-10-17|3
72|2024-10-22|1
73|2024-08-23|1
74|2024-08-25|3
75|2024-08-21|3
76|2024-10-18|1
77|2024-11-07|3
78|2024-09-06|1
79|2024-07-26|3
80|2024-10-11|1
81|2024-10-07|3
82|2024-08-14|3
83|2024-11-28|3
84|2024-08-05|3
85|2024-07-05|3
86|2024-10-26|1
87|2024-10-20|1
88|2024-09-12|1
89|2024-08-31|1
90|2024-07-15|1
91|2024-10-20|3
92|2024-11-30|6
93|2024-11-20|3
94|2024-08-05|1
95|2024-08-27|3
96|2024-11-19|3
97|2024-09-15|3
98|2024-10-02|1
99|2024-07-21|1
100|2024-09-12|3
