id|secteur
1|Comptabilité, gestion, ressources humaines
2|Commerce et distribution
3|Environnement
4|Hôtellerie - Restauration
5|Mode et textile
6|Architecture
7|Construction aéronautique, ferroviaire et navale
8|Recherche
9|Sport
10|Bien-être
11|Arts du spectacle
12|Audiovisuel et journalisme
13|Industrie
14|Enseignement et formation
15|Informatique et télécoms
16|Bâtiment et travaux publics (BTP)
17|Energie et étude des sols
18|Défense
19|Maintenance et entretien
20|Electronique
21|Services à la personne ou à la collectivité
22|Droit et justice
23|Filière bois
24|Industrie alimentaire
25|Internet - Ecommerce
26|Artisanat d'art
27|Finance, banque et assurances
28|Marketing, publicité
29|Agriculture et élevage
30|Mécanique
31|Fonction publique
32|Tourisme
33|Edition, librairie, bibliothèque
34|Culture - Patrimoine
35|Logistique et transport
36|Automobile
37|Santé
38|Social
39|Sécurité
40|Industrie chimique
41|Audit - Conseil
